,strain,contig
21,Cryptococcus_neoformans_draft_genome.fasta,">34378 115152 1469785 15809-,...,23113-"
22,Cryptococcus_neoformans_draft_genome.fasta,">34465 114824 1486972 17929+,...,24864+"
23,Cryptococcus_neoformans_draft_genome.fasta,">35334 109782 1473722 31022+,...,24683+"
24,Cryptococcus_neoformans_draft_genome.fasta,">34100 106378 1353725 9610+,...,5130+"
25,Cryptococcus_neoformans_draft_genome.fasta,">34010 106263 1390452 7984+,32147+"
26,Cryptococcus_neoformans_draft_genome.fasta,">30189 104344 1345129 3625-,22749+"
27,Cryptococcus_neoformans_draft_genome.fasta,">34702 102321 1430819 22848-,...,29695-"
28,Cryptococcus_neoformans_draft_genome.fasta,">34337 100903 659141 15165+,...,32260+"
29,Cryptococcus_neoformans_draft_genome.fasta,">34718 94296 1190040 23337+,...,9712+"
30,Cryptococcus_neoformans_draft_genome.fasta,">34662 91780 605127 22089-,...,10311-"
31,Cryptococcus_neoformans_draft_genome.fasta,">35796 89833 1215940 11029-,...,20921+"
32,Cryptococcus_neoformans_draft_genome.fasta,">34559 87374 1210257 19950+,...,28378+"
33,Cryptococcus_neoformans_draft_genome.fasta,">33966 86038 1134490 6915+,...,18783-"
34,Cryptococcus_neoformans_draft_genome.fasta,">34299 81378 1170648 14493+,...,30247+"
35,Cryptococcus_neoformans_draft_genome.fasta,>24351 80097 1053698
36,Cryptococcus_neoformans_draft_genome.fasta,">34198 77847 1238421 11773+,...,16160+"
37,Cryptococcus_neoformans_draft_genome.fasta,">33925 77340 504176 6113-,...,19029+"
38,Cryptococcus_neoformans_draft_genome.fasta,">33889 76789 999304 5538+,...,31554-"
39,Cryptococcus_neoformans_draft_genome.fasta,">33919 75406 991495 5946+,...,14877+"
40,Cryptococcus_neoformans_draft_genome.fasta,">34972 75181 988790 28730+,...,233-"
41,Cryptococcus_neoformans_draft_genome.fasta,">35289 75066 497739 30761+,...,2318-"
42,Cryptococcus_neoformans_draft_genome.fasta,">33806 74864 1020653 3431+,...,24061+"
43,Cryptococcus_neoformans_draft_genome.fasta,">35019 72851 986044 29419+,...,24706+"
44,Cryptococcus_neoformans_draft_genome.fasta,">34157 72716 1130864 10891+,18567+"
45,Cryptococcus_neoformans_draft_genome.fasta,">34667 72352 1006473 22210+,...,9081+"
46,Cryptococcus_neoformans_draft_genome.fasta,">34992 71687 943345 29267-,...,14711+"
47,Cryptococcus_neoformans_draft_genome.fasta,">33847 71301 1004972 4615-,...,32134+"
48,Cryptococcus_neoformans_draft_genome.fasta,">35200 71006 909120 30275-,...,4436+"
49,Cryptococcus_neoformans_draft_genome.fasta,">34971 66963 865689 28631-,14777-,23709+"
50,Cryptococcus_neoformans_draft_genome.fasta,">34167 66451 926046 11116+,32283+,30347+"
51,Cryptococcus_neoformans_draft_genome.fasta,">34603 66242 851583 20955+,28226-"
52,Cryptococcus_neoformans_draft_genome.fasta,">33915 66211 836656 5898-,...,3867+"
53,Cryptococcus_neoformans_draft_genome.fasta,">34538 66023 892909 19401-,...,26388-"
54,Cryptococcus_neoformans_draft_genome.fasta,">34581 65770 912110 20450+,...,4708+"
55,Cryptococcus_neoformans_draft_genome.fasta,">33661 65209 415901 507+,...,30901+"
56,Cryptococcus_neoformans_draft_genome.fasta,">34686 64516 428865 22543+,...,30950+"
57,Cryptococcus_neoformans_draft_genome.fasta,">35296 64438 417764 30800+,...,30649-"
58,Cryptococcus_neoformans_draft_genome.fasta,">35689 63460 813468 32721+,...,27710-"
59,Cryptococcus_neoformans_draft_genome.fasta,">35482 62933 409541 31762-,...,31056-"
60,Cryptococcus_neoformans_draft_genome.fasta,">33917 62639 768455 5908-,...,31092+"
61,Cryptococcus_neoformans_draft_genome.fasta,">34528 61906 814116 19119+,...,5735+"
62,Cryptococcus_neoformans_draft_genome.fasta,">34068 61802 802765 9091+,...,14196+"
63,Cryptococcus_neoformans_draft_genome.fasta,">33675 61478 402524 599+,...,9426-"
64,Cryptococcus_neoformans_draft_genome.fasta,>18843 60772 854942
65,Cryptococcus_neoformans_draft_genome.fasta,">35526 60381 796116 31965+,...,13221+"
66,Cryptococcus_neoformans_draft_genome.fasta,">34800 59432 398191 24954+,...,31393+"
67,Cryptococcus_neoformans_draft_genome.fasta,">34112 59295 750960 9782+,...,29497-"
68,Cryptococcus_neoformans_draft_genome.fasta,">34163 58810 769503 10997+,...,19998+"
69,Cryptococcus_neoformans_draft_genome.fasta,">34852 58801 733315 26054+,...,27374-"
70,Cryptococcus_neoformans_draft_genome.fasta,">34923 58379 372530 27785+,...,33023-"
71,Cryptococcus_neoformans_draft_genome.fasta,">34477 57790 370095 18131-,...,30002+"
72,Cryptococcus_neoformans_draft_genome.fasta,">34399 57741 754794 16420-,...,4726-"
73,Cryptococcus_neoformans_draft_genome.fasta,">35260 57626 382949 30638-,...,31480+"
74,Cryptococcus_neoformans_draft_genome.fasta,">33978 57574 375988 7196-,...,31433-"
75,Cryptococcus_neoformans_draft_genome.fasta,">34627 57073 376266 21464-,...,32604+"
76,Cryptococcus_neoformans_draft_genome.fasta,">35532 57026 379896 31993+,...,31002-"
77,Cryptococcus_neoformans_draft_genome.fasta,">35223 56707 368660 30435+,...,30406+"
78,Cryptococcus_neoformans_draft_genome.fasta,">34732 55800 358460 23446-,...,22008-"
79,Cryptococcus_neoformans_draft_genome.fasta,">35180 55379 371511 30164-,...,32119-"
80,Cryptococcus_neoformans_draft_genome.fasta,">34517 55096 727175 18783+,...,9593+"
81,Cryptococcus_neoformans_draft_genome.fasta,">34335 54773 843470 15143+,11806+,15390+"
82,Cryptococcus_neoformans_draft_genome.fasta,">35017 54030 355170 29405+,...,11348+"
83,Cryptococcus_neoformans_draft_genome.fasta,">34145 52604 342732 10513+,...,22388+"
84,Cryptococcus_neoformans_draft_genome.fasta,">35794 52556 343898 30878+,...,32910-"
85,Cryptococcus_neoformans_draft_genome.fasta,">34039 51997 333770 8506+,...,29794-"
86,Cryptococcus_neoformans_draft_genome.fasta,">34694 51557 661997 22643+,1824+"
87,Cryptococcus_neoformans_draft_genome.fasta,">34029 51535 661754 8251+,...,24269+"
88,Cryptococcus_neoformans_draft_genome.fasta,">35797 51535 330617 31131+,...,11957+"
89,Cryptococcus_neoformans_draft_genome.fasta,">35022 51477 332680 29431+,...,26865-"
90,Cryptococcus_neoformans_draft_genome.fasta,">35018 51459 651723 29406+,...,32845+"
91,Cryptococcus_neoformans_draft_genome.fasta,">33802 51386 581486 3410+,...,31399+"
92,Cryptococcus_neoformans_draft_genome.fasta,">35641 51026 642472 32507-,...,31363+"
93,Cryptococcus_neoformans_draft_genome.fasta,">34444 50965 713674 17373+,...,3290+"
94,Cryptococcus_neoformans_draft_genome.fasta,">34308 50911 330560 14753-,...,28498-"
95,Cryptococcus_neoformans_draft_genome.fasta,">35552 50010 320704 32126-,...,12274-"
96,Cryptococcus_neoformans_draft_genome.fasta,">35033 49445 315780 29482-,...,31453+"
97,Cryptococcus_neoformans_draft_genome.fasta,">34119 49304 644762 10047-,...,10685-"
98,Cryptococcus_neoformans_draft_genome.fasta,">33880 48591 321621 5338+,...,30476-"
99,Cryptococcus_neoformans_draft_genome.fasta,">34474 48340 313474 18079-,...,30263+"
100,Cryptococcus_neoformans_draft_genome.fasta,">34084 47154 306910 9318+,...,19010+"
101,Cryptococcus_neoformans_draft_genome.fasta,">35556 47093 656614 32134-,18111+"
102,Cryptococcus_neoformans_draft_genome.fasta,">33774 47032 301040 2832+,...,32376+"
103,Cryptococcus_neoformans_draft_genome.fasta,">35127 46775 306442 29925+,...,21943+"
104,Cryptococcus_neoformans_draft_genome.fasta,">33820 45783 299595 3725+,...,30163+"
105,Cryptococcus_neoformans_draft_genome.fasta,">34647 45356 306622 21872+,...,30726-"
106,Cryptococcus_neoformans_draft_genome.fasta,">34201 45344 300556 11830+,...,30303+"
107,Cryptococcus_neoformans_draft_genome.fasta,">35609 45209 291441 32385+,...,31039+"
108,Cryptococcus_neoformans_draft_genome.fasta,">34385 45106 570769 16046+,31819-,4223+"
109,Cryptococcus_neoformans_draft_genome.fasta,">35061 44915 289065 29635+,...,32866-"
110,Cryptococcus_neoformans_draft_genome.fasta,">35095 44906 289483 29773+,...,31489+"
111,Cryptococcus_neoformans_draft_genome.fasta,">34258 44511 287930 13280+,...,30346+"
112,Cryptococcus_neoformans_draft_genome.fasta,">35639 44430 287492 32504+,...,30560+"
113,Cryptococcus_neoformans_draft_genome.fasta,">35110 43784 284084 29848-,...,30456+"
114,Cryptococcus_neoformans_draft_genome.fasta,">35431 43689 553973 31488+,...,25670+"
115,Cryptococcus_neoformans_draft_genome.fasta,">34682 43559 500397 22396-,...,29564-"
116,Cryptococcus_neoformans_draft_genome.fasta,">35742 43127 283982 32941-,...,29139-"
117,Cryptococcus_neoformans_draft_genome.fasta,">35303 43010 278492 30861+,...,32182+"
118,Cryptococcus_neoformans_draft_genome.fasta,">33913 42790 275158 5887+,...,30291-"
119,Cryptococcus_neoformans_draft_genome.fasta,">35394 42363 280855 31291-,...,17705-"
120,Cryptococcus_neoformans_draft_genome.fasta,">33924 42201 618972 6105+,...,16160+"
121,Cryptococcus_neoformans_draft_genome.fasta,">35280 41912 268639 30741-,...,32434-"
122,Cryptococcus_neoformans_draft_genome.fasta,">35566 41693 271114 32166+,...,32539+"
123,Cryptococcus_neoformans_draft_genome.fasta,">34987 41607 550080 29177+,14746+,2915+"
124,Cryptococcus_neoformans_draft_genome.fasta,">35374 41503 267736 31224+,...,32208+"
125,Cryptococcus_neoformans_draft_genome.fasta,">35784 41484 523944 5829-,...,31194-"
126,Cryptococcus_neoformans_draft_genome.fasta,">35724 41448 262482 32867-,...,31069-"
127,Cryptococcus_neoformans_draft_genome.fasta,">33945 41429 273844 6475+,...,8061-"
128,Cryptococcus_neoformans_draft_genome.fasta,">34275 40989 267382 13804+,...,32126+"
129,Cryptococcus_neoformans_draft_genome.fasta,">35177 40989 266590 30133+,...,30766+"
130,Cryptococcus_neoformans_draft_genome.fasta,">35316 40866 527764 30944+,...,31860+"
131,Cryptococcus_neoformans_draft_genome.fasta,">35501 40744 268480 31853+,...,19596+"
132,Cryptococcus_neoformans_draft_genome.fasta,">35071 40459 265789 29684+,...,32461+"
133,Cryptococcus_neoformans_draft_genome.fasta,">35146 40446 263123 29953+,...,19455-"
134,Cryptococcus_neoformans_draft_genome.fasta,">35519 40312 262697 31934-,...,26562-"
135,Cryptococcus_neoformans_draft_genome.fasta,">35138 40309 657584 29942+,...,2915+"
136,Cryptococcus_neoformans_draft_genome.fasta,">34839 40179 264743 25722+,...,9318-"
137,Cryptococcus_neoformans_draft_genome.fasta,">35025 40061 263198 29440-,...,29360-"
138,Cryptococcus_neoformans_draft_genome.fasta,">35495 39485 257146 31837+,...,29270+"
139,Cryptococcus_neoformans_draft_genome.fasta,">33990 39423 510276 7435-,...,30039-"
140,Cryptococcus_neoformans_draft_genome.fasta,">35814 39292 252099 25563-,...,32947-"
141,Cryptococcus_neoformans_draft_genome.fasta,">34612 39019 263196 21199+,...,28366-"
142,Cryptococcus_neoformans_draft_genome.fasta,">34392 38995 362374 16273+,...,29942-"
143,Cryptococcus_neoformans_draft_genome.fasta,">34849 38912 256415 25980-,...,32586+"
144,Cryptococcus_neoformans_draft_genome.fasta,">34489 38745 522335 18308+,...,29703-"
145,Cryptococcus_neoformans_draft_genome.fasta,">35315 38710 258587 30941+,...,32269-"
146,Cryptococcus_neoformans_draft_genome.fasta,">34556 38549 252488 19820-,...,29819-"
147,Cryptococcus_neoformans_draft_genome.fasta,">35152 38515 254285 30007+,...,31488-"
148,Cryptococcus_neoformans_draft_genome.fasta,">35055 38506 252150 29604-,...,19561-"
149,Cryptococcus_neoformans_draft_genome.fasta,">34996 38222 247515 29307+,...,31200+"
150,Cryptococcus_neoformans_draft_genome.fasta,">34026 37927 246353 8207+,...,29977+"
151,Cryptococcus_neoformans_draft_genome.fasta,">35488 37905 249546 31790-,...,30254+"
152,Cryptococcus_neoformans_draft_genome.fasta,">35284 37809 243457 30751-,...,30413+"
153,Cryptococcus_neoformans_draft_genome.fasta,">34637 37614 483927 21637+,...,6762+"
154,Cryptococcus_neoformans_draft_genome.fasta,">35792 37340 241240 30616+,...,30374-"
155,Cryptococcus_neoformans_draft_genome.fasta,">35051 37203 251251 29589-,...,14778-"
156,Cryptococcus_neoformans_draft_genome.fasta,">33712 36972 238064 1470+,...,31499-"
157,Cryptococcus_neoformans_draft_genome.fasta,">34977 36875 465681 28811-,...,8053-"
158,Cryptococcus_neoformans_draft_genome.fasta,">35416 36844 262857 31425+,...,31101+"
159,Cryptococcus_neoformans_draft_genome.fasta,">34850 36690 425237 26036+,...,10484+"
160,Cryptococcus_neoformans_draft_genome.fasta,">35713 36677 445601 32818+,3804+"
161,Cryptococcus_neoformans_draft_genome.fasta,">35664 36623 232314 32613+,...,30986+"
162,Cryptococcus_neoformans_draft_genome.fasta,">35576 36607 230975 32215+,...,31484-"
163,Cryptococcus_neoformans_draft_genome.fasta,">35561 36590 232289 32155-,...,31522-"
164,Cryptococcus_neoformans_draft_genome.fasta,">35698 36478 229998 32764-,...,1981-"
165,Cryptococcus_neoformans_draft_genome.fasta,">34957 36162 470273 28475+,...,31586+"
166,Cryptococcus_neoformans_draft_genome.fasta,">34614 36099 450294 21239+,...,7387+"
167,Cryptococcus_neoformans_draft_genome.fasta,">35317 36083 465895 30957-,...,23567-"
168,Cryptococcus_neoformans_draft_genome.fasta,">35091 35986 413054 29734+,...,31114+"
169,Cryptococcus_neoformans_draft_genome.fasta,">35119 35861 231260 29894-,...,30376-"
170,Cryptococcus_neoformans_draft_genome.fasta,">35219 35789 235509 30422-,...,26772-"
171,Cryptococcus_neoformans_draft_genome.fasta,">33951 35762 409014 6614+,...,9128+"
172,Cryptococcus_neoformans_draft_genome.fasta,">34050 35526 234036 8910+,...,32741+"
173,Cryptococcus_neoformans_draft_genome.fasta,">34921 35304 226552 27654-,...,15496+"
174,Cryptococcus_neoformans_draft_genome.fasta,">33708 35174 242865 1417+,...,15763+"
175,Cryptococcus_neoformans_draft_genome.fasta,">34689 35128 232178 22591+,...,31920+"
176,Cryptococcus_neoformans_draft_genome.fasta,">34404 35108 230048 16540-,...,20920+"
177,Cryptococcus_neoformans_draft_genome.fasta,">35309 35054 232578 30905+,...,30474-"
178,Cryptococcus_neoformans_draft_genome.fasta,">34947 34966 463669 28317+,...,6443+"
179,Cryptococcus_neoformans_draft_genome.fasta,">35502 34945 490694 31860-,...,8640-"
180,Cryptococcus_neoformans_draft_genome.fasta,">35598 34923 229702 32335-,...,30825-"
181,Cryptococcus_neoformans_draft_genome.fasta,">35085 34907 225564 29716-,...,7897+"
182,Cryptococcus_neoformans_draft_genome.fasta,">35802 34829 223833 30746+,...,18498+"
183,Cryptococcus_neoformans_draft_genome.fasta,">33766 34814 444584 2733+,30957-"
184,Cryptococcus_neoformans_draft_genome.fasta,">34007 34768 227937 7953-,...,28498+"
185,Cryptococcus_neoformans_draft_genome.fasta,">34389 34651 773581 16160+,12090+"
186,Cryptococcus_neoformans_draft_genome.fasta,">35711 34638 228120 32807+,...,30198-"
187,Cryptococcus_neoformans_draft_genome.fasta,">34270 34633 447385 13562+,...,24038+"
188,Cryptococcus_neoformans_draft_genome.fasta,">34121 34573 228580 10059+,...,30821-"
189,Cryptococcus_neoformans_draft_genome.fasta,">35362 33996 227018 31188-,...,32446+"
190,Cryptococcus_neoformans_draft_genome.fasta,">35024 33966 220179 29436+,...,22519-"
191,Cryptococcus_neoformans_draft_genome.fasta,">35476 33763 222670 31728+,...,32839-"
192,Cryptococcus_neoformans_draft_genome.fasta,">35608 33746 228364 32384+,...,32593-"
193,Cryptococcus_neoformans_draft_genome.fasta,">35765 33732 427142 33062-,...,20627-"
194,Cryptococcus_neoformans_draft_genome.fasta,">34179 33650 436409 11279+,20433-"
195,Cryptococcus_neoformans_draft_genome.fasta,">34988 33322 216341 29200+,...,12797+"
196,Cryptococcus_neoformans_draft_genome.fasta,">35399 33024 214163 31309+,...,23074-"
197,Cryptococcus_neoformans_draft_genome.fasta,">34879 32971 202635 26714-,...,32874-"
198,Cryptococcus_neoformans_draft_genome.fasta,">35688 32770 210830 32716+,...,30542-"
199,Cryptococcus_neoformans_draft_genome.fasta,">35591 32713 218553 32295+,...,30599+"
200,Cryptococcus_neoformans_draft_genome.fasta,">35137 32706 310924 29942+,...,31459+"
201,Cryptococcus_neoformans_draft_genome.fasta,">34159 32650 440028 10919+,...,8598+"
202,Cryptococcus_neoformans_draft_genome.fasta,">34481 32466 210107 18145-,...,32535+"
203,Cryptococcus_neoformans_draft_genome.fasta,">34473 32465 217416 18068+,...,31848+"
204,Cryptococcus_neoformans_draft_genome.fasta,">35465 32275 212386 31660+,...,30990+"
205,Cryptococcus_neoformans_draft_genome.fasta,">35646 32206 212937 32529-,...,29743-"
206,Cryptococcus_neoformans_draft_genome.fasta,">34638 32199 404624 21691-,...,12218+"
207,Cryptococcus_neoformans_draft_genome.fasta,">35197 32184 206992 30244+,...,31186-"
208,Cryptococcus_neoformans_draft_genome.fasta,">34454 32150 431979 17624+,31860-"
209,Cryptococcus_neoformans_draft_genome.fasta,">35185 32126 211933 30196-,...,30434+"
210,Cryptococcus_neoformans_draft_genome.fasta,">34372 32086 400220 15686+,31681-,32006-"
211,Cryptococcus_neoformans_draft_genome.fasta,">34214 32059 410380 12147+,...,276-"
212,Cryptococcus_neoformans_draft_genome.fasta,">33794 31952 216071 3283+,...,31386+"
213,Cryptococcus_neoformans_draft_genome.fasta,">33772 31333 434994 2814+,...,32134-"
214,Cryptococcus_neoformans_draft_genome.fasta,">34580 31146 460418 20450+,...,9763+"
215,Cryptococcus_neoformans_draft_genome.fasta,">35562 31026 198193 32158-,...,31245-"
216,Cryptococcus_neoformans_draft_genome.fasta,">35730 30972 216530 32895-,...,8028-"
217,Cryptococcus_neoformans_draft_genome.fasta,">35012 30809 255734 29373-,...,25919-"
218,Cryptococcus_neoformans_draft_genome.fasta,">34680 30796 202920 22365-,...,31459-"
219,Cryptococcus_neoformans_draft_genome.fasta,">33983 30777 207451 7335-,...,15066-"
220,Cryptococcus_neoformans_draft_genome.fasta,">35486 30684 210987 31787-,...,17298+"
221,Cryptococcus_neoformans_draft_genome.fasta,">33804 30594 396988 3422+,...,10156-"
222,Cryptococcus_neoformans_draft_genome.fasta,">35097 30436 200176 29784-,...,32802+"
223,Cryptococcus_neoformans_draft_genome.fasta,">35546 30405 193620 32052-,...,32351+"
224,Cryptococcus_neoformans_draft_genome.fasta,">34182 30393 192014 11322+,...,30621+"
225,Cryptococcus_neoformans_draft_genome.fasta,">35558 30333 414149 32147-,5763+,32147-"
226,Cryptococcus_neoformans_draft_genome.fasta,">35003 30293 190475 29324+,...,4737+"
227,Cryptococcus_neoformans_draft_genome.fasta,">33952 30158 372715 6614+,19365+"
228,Cryptococcus_neoformans_draft_genome.fasta,">35084 30121 192892 29713+,...,21059-"
229,Cryptococcus_neoformans_draft_genome.fasta,">35065 30085 189635 29657+,...,27307+"
230,Cryptococcus_neoformans_draft_genome.fasta,">32852 29894 382329 21918+,23171-"
231,Cryptococcus_neoformans_draft_genome.fasta,">33656 29865 211423 380+,...,29355-"
232,Cryptococcus_neoformans_draft_genome.fasta,">35429 29747 360327 31482-,28184+,11287+"
233,Cryptococcus_neoformans_draft_genome.fasta,">34437 29744 509790 17268-,...,29942-"
234,Cryptococcus_neoformans_draft_genome.fasta,">34959 29711 198615 28498-,...,9020-"
235,Cryptococcus_neoformans_draft_genome.fasta,">35190 29621 357851 30216+,...,31482+"
236,Cryptococcus_neoformans_draft_genome.fasta,">35581 29583 191243 32247-,...,30947-"
237,Cryptococcus_neoformans_draft_genome.fasta,">35320 29551 191348 30965-,...,29721+"
238,Cryptococcus_neoformans_draft_genome.fasta,">34502 29527 195003 18624-,...,32042+"
239,Cryptococcus_neoformans_draft_genome.fasta,">35634 29207 185957 32460-,...,29414-"
240,Cryptococcus_neoformans_draft_genome.fasta,">34356 29119 190836 15421-,...,21799-"
241,Cryptococcus_neoformans_draft_genome.fasta,">33899 29104 192474 5694-,...,32543-"
242,Cryptococcus_neoformans_draft_genome.fasta,">35237 29069 182050 30499+,...,7346+"
243,Cryptococcus_neoformans_draft_genome.fasta,">33646 29012 186808 179+,...,31065+"
244,Cryptococcus_neoformans_draft_genome.fasta,">35076 29004 392056 29703+,...,24688+"
245,Cryptococcus_neoformans_draft_genome.fasta,">35004 28992 189589 29327+,...,32394+"
246,Cryptococcus_neoformans_draft_genome.fasta,">33935 28972 191252 6263+,...,30554+"
247,Cryptococcus_neoformans_draft_genome.fasta,">34512 28948 192274 18751+,...,32357+"
248,Cryptococcus_neoformans_draft_genome.fasta,">34370 28912 189724 15654+,...,23100-"
249,Cryptococcus_neoformans_draft_genome.fasta,">35438 28907 185702 31534-,...,3906+"
250,Cryptococcus_neoformans_draft_genome.fasta,">35553 28345 182305 32130+,...,29527-"
251,Cryptococcus_neoformans_draft_genome.fasta,">34449 28273 377076 17587+,11274+"
252,Cryptococcus_neoformans_draft_genome.fasta,">35081 28183 203049 29703+,...,31927-"
253,Cryptococcus_neoformans_draft_genome.fasta,">35818 28120 179919 31822-,...,29308-"
254,Cryptococcus_neoformans_draft_genome.fasta,">33813 28032 344057 3588+,...,2375+"
255,Cryptococcus_neoformans_draft_genome.fasta,">35271 27947 175580 30676-,...,24193-"
256,Cryptococcus_neoformans_draft_genome.fasta,">35196 27935 178760 30243-,...,32755+"
257,Cryptococcus_neoformans_draft_genome.fasta,">34124 27750 181255 10094+,...,32933-"
258,Cryptococcus_neoformans_draft_genome.fasta,">33831 27666 175605 4010+,...,18911-"
259,Cryptococcus_neoformans_draft_genome.fasta,">35422 27618 182563 31461+,...,31106+"
260,Cryptococcus_neoformans_draft_genome.fasta,">35250 27601 179920 30570-,...,29297+"
261,Cryptococcus_neoformans_draft_genome.fasta,">35428 27561 352333 31482+,33476-,27084+"
262,Cryptococcus_neoformans_draft_genome.fasta,">35395 27542 183449 31292+,...,29401+"
263,Cryptococcus_neoformans_draft_genome.fasta,">35544 27522 179165 32049-,...,22618-"
264,Cryptococcus_neoformans_draft_genome.fasta,">35159 27453 174997 30054+,...,30828+"
265,Cryptococcus_neoformans_draft_genome.fasta,">35791 27452 380262 8108+,...,31586+"
266,Cryptococcus_neoformans_draft_genome.fasta,">35215 27432 171146 30375+,...,18120-"
267,Cryptococcus_neoformans_draft_genome.fasta,">35222 27239 184165 30432-,...,17277+"
268,Cryptococcus_neoformans_draft_genome.fasta,">33901 27208 181203 5710+,...,29600+"
269,Cryptococcus_neoformans_draft_genome.fasta,">34020 27201 363859 8108+,...,2814-"
270,Cryptococcus_neoformans_draft_genome.fasta,">34178 27013 358101 11274-,16782+"
271,Cryptococcus_neoformans_draft_genome.fasta,">35066 26948 178661 29659-,...,30190-"
272,Cryptococcus_neoformans_draft_genome.fasta,">34324 26822 390855 14877-,18774+"
273,Cryptococcus_neoformans_draft_genome.fasta,">34071 26820 173130 9169+,...,18291+"
274,Cryptococcus_neoformans_draft_genome.fasta,">34017 26812 359115 8028+,...,8318+"
275,Cryptococcus_neoformans_draft_genome.fasta,">35700 26771 171140 32768-,...,31349+"
276,Cryptococcus_neoformans_draft_genome.fasta,">35487 26633 177785 31788-,...,7245+"
277,Cryptococcus_neoformans_draft_genome.fasta,">35002 26626 171737 29324+,...,7144+"
278,Cryptococcus_neoformans_draft_genome.fasta,">34993 26592 171308 29281-,...,31937-"
279,Cryptococcus_neoformans_draft_genome.fasta,">35378 26552 171551 31230-,...,30239+"
280,Cryptococcus_neoformans_draft_genome.fasta,">35302 26522 178672 30852+,...,30743-"
281,Cryptococcus_neoformans_draft_genome.fasta,">35466 26520 170659 31668-,...,11829+"
282,Cryptococcus_neoformans_draft_genome.fasta,">34629 26457 168254 21488+,...,9644+"
283,Cryptococcus_neoformans_draft_genome.fasta,">35325 26396 330914 30977+,...,5151+"
284,Cryptococcus_neoformans_draft_genome.fasta,">35741 26396 167860 32941-,...,30691+"
285,Cryptococcus_neoformans_draft_genome.fasta,>12296 26359 344744
286,Cryptococcus_neoformans_draft_genome.fasta,">34841 26337 176712 25781+,...,3195+"
287,Cryptococcus_neoformans_draft_genome.fasta,">35021 26225 327642 29425+,...,11739+"
288,Cryptococcus_neoformans_draft_genome.fasta,">35670 26129 168979 32645-,...,31034+"
289,Cryptococcus_neoformans_draft_genome.fasta,">34041 26108 167639 8642+,...,31774+"
290,Cryptococcus_neoformans_draft_genome.fasta,">34835 26069 167698 25577-,...,32881+"
291,Cryptococcus_neoformans_draft_genome.fasta,">35128 26049 167224 29929-,...,32055-"
292,Cryptococcus_neoformans_draft_genome.fasta,">35365 25932 169229 31199+,...,29737-"
293,Cryptococcus_neoformans_draft_genome.fasta,">35229 25812 171869 30471-,...,7013-"
294,Cryptococcus_neoformans_draft_genome.fasta,">35540 25765 171909 32027+,...,1024+"
295,Cryptococcus_neoformans_draft_genome.fasta,">35402 25715 168270 31323-,...,17412+"
296,Cryptococcus_neoformans_draft_genome.fasta,">35554 25551 163717 32132+,...,4568+"
297,Cryptococcus_neoformans_draft_genome.fasta,">35161 25511 168144 30064+,...,29733+"
298,Cryptococcus_neoformans_draft_genome.fasta,">33995 25476 157779 7750-,...,30191-"
299,Cryptococcus_neoformans_draft_genome.fasta,">35360 25435 160802 31155+,...,32136-"
300,Cryptococcus_neoformans_draft_genome.fasta,">34848 25386 317063 25961-,23622+,23697+"
301,Cryptococcus_neoformans_draft_genome.fasta,">35008 25365 165162 29344-,...,31138-"
302,Cryptococcus_neoformans_draft_genome.fasta,">34922 25203 165137 27696-,...,32456-"
303,Cryptococcus_neoformans_draft_genome.fasta,">34411 25188 320786 16663+,29161+"
