index	bin	contig
61	bin.1.fa	>NODE_1669_length_6513_cov_25.565500
62	bin.1.fa	>NODE_1753_length_6290_cov_23.429832
63	bin.1.fa	>NODE_1830_length_6124_cov_27.626462
64	bin.1.fa	>NODE_1984_length_5769_cov_30.845992
65	bin.1.fa	>NODE_2040_length_5652_cov_27.547257
66	bin.1.fa	>NODE_2042_length_5651_cov_29.712116
67	bin.1.fa	>NODE_2439_length_5050_cov_23.090290
68	bin.1.fa	>NODE_2597_length_4864_cov_17.176960
69	bin.1.fa	>NODE_2692_length_4762_cov_24.582962
70	bin.1.fa	>NODE_2753_length_4686_cov_27.025265
71	bin.1.fa	>NODE_2939_length_4490_cov_22.065840
72	bin.1.fa	>NODE_2993_length_4429_cov_27.155007
73	bin.1.fa	>NODE_3031_length_4396_cov_28.222990
74	bin.1.fa	>NODE_3419_length_4054_cov_22.586897
75	bin.1.fa	>NODE_3679_length_3863_cov_31.128939
76	bin.1.fa	>NODE_3791_length_3794_cov_22.233485
77	bin.1.fa	>NODE_3918_length_3705_cov_25.726301
78	bin.1.fa	>NODE_4023_length_3634_cov_9.502654
79	bin.1.fa	>NODE_4419_length_3403_cov_21.927121
80	bin.1.fa	>NODE_4765_length_3243_cov_21.117001
81	bin.1.fa	>NODE_4782_length_3229_cov_21.917769
82	bin.1.fa	>NODE_5798_length_2862_cov_31.625579
83	bin.1.fa	>NODE_5921_length_2824_cov_15.260383
84	bin.1.fa	>NODE_7779_length_2390_cov_31.080942
85	bin.1.fa	>k141_118841_length_2382_cov_18.0000
86	bin.1.fa	>NODE_7839_length_2378_cov_27.164012
87	bin.1.fa	>NODE_10191_length_2048_cov_29.806824
88	bin.1.fa	>NODE_10364_length_2029_cov_23.500507
89	bin.1.fa	>NODE_10955_length_1966_cov_28.671376
90	bin.1.fa	>NODE_11270_length_1935_cov_31.243617
91	bin.1.fa	>k141_608775_length_1837_cov_23.0000
92	bin.1.fa	>NODE_12492_length_1831_cov_28.064189
93	bin.1.fa	>NODE_13861_length_1730_cov_26.887164
94	bin.1.fa	>NODE_14446_length_1694_cov_20.322758
95	bin.1.fa	>NODE_15096_length_1656_cov_14.792005
96	bin.10.fa	>NODE_18_length_97374_cov_13.626116
97	bin.10.fa	>NODE_20_length_91638_cov_13.681491
98	bin.10.fa	>NODE_35_length_73883_cov_13.132849
99	bin.10.fa	>NODE_42_length_66618_cov_13.668014
100	bin.10.fa	>NODE_49_length_62214_cov_15.038755
101	bin.10.fa	>NODE_51_length_61903_cov_12.622057
102	bin.10.fa	>NODE_54_length_60222_cov_13.466701
103	bin.10.fa	>NODE_69_length_50977_cov_14.207788
104	bin.10.fa	>NODE_71_length_50603_cov_12.500455
105	bin.10.fa	>NODE_103_length_41221_cov_13.510713
106	bin.10.fa	>NODE_108_length_39886_cov_12.676056
107	bin.10.fa	>NODE_117_length_38145_cov_13.930664
108	bin.10.fa	>NODE_125_length_36820_cov_12.403373
109	bin.10.fa	>NODE_135_length_35706_cov_12.859667
110	bin.10.fa	>NODE_141_length_34949_cov_12.261392
111	bin.10.fa	>NODE_147_length_33496_cov_12.786221
112	bin.10.fa	>NODE_174_length_30065_cov_12.174109
113	bin.10.fa	>NODE_180_length_29668_cov_13.176443
114	bin.10.fa	>NODE_197_length_27362_cov_13.407038
115	bin.10.fa	>NODE_241_length_23894_cov_12.965728
116	bin.10.fa	>NODE_280_length_21824_cov_12.752079
117	bin.10.fa	>NODE_281_length_21740_cov_13.859258
118	bin.10.fa	>NODE_332_length_19718_cov_12.994863
119	bin.10.fa	>NODE_370_length_18154_cov_11.355047
120	bin.10.fa	>NODE_392_length_17436_cov_12.143087
121	bin.10.fa	>NODE_408_length_17095_cov_11.153756
122	bin.10.fa	>NODE_414_length_16965_cov_13.133412
123	bin.10.fa	>NODE_430_length_16578_cov_12.464322
124	bin.10.fa	>NODE_432_length_16518_cov_11.567697
125	bin.10.fa	>NODE_433_length_16511_cov_12.296548
126	bin.10.fa	>NODE_454_length_15956_cov_13.748884
127	bin.10.fa	>NODE_465_length_15530_cov_12.849305
128	bin.10.fa	>NODE_483_length_15254_cov_17.140141
129	bin.10.fa	>NODE_495_length_14986_cov_12.127051
130	bin.10.fa	>NODE_535_length_14071_cov_14.303796
131	bin.10.fa	>NODE_543_length_13922_cov_13.689623
132	bin.10.fa	>NODE_625_length_12726_cov_12.913030
133	bin.10.fa	>NODE_651_length_12405_cov_14.118300
134	bin.10.fa	>NODE_654_length_12350_cov_12.229280
135	bin.10.fa	>NODE_746_length_11265_cov_11.238537
136	bin.10.fa	>NODE_774_length_11017_cov_12.863893
137	bin.10.fa	>NODE_794_length_10818_cov_13.898727
138	bin.10.fa	>NODE_1309_length_7648_cov_11.893718
139	bin.10.fa	>NODE_1348_length_7486_cov_12.421343
140	bin.10.fa	>NODE_1422_length_7245_cov_10.629485
141	bin.10.fa	>NODE_1472_length_7097_cov_12.519597
142	bin.10.fa	>NODE_1551_length_6853_cov_10.890262
143	bin.10.fa	>NODE_1610_length_6674_cov_10.883366
144	bin.10.fa	>NODE_1629_length_6627_cov_11.927419
145	bin.10.fa	>NODE_1673_length_6496_cov_14.416084
146	bin.10.fa	>NODE_1791_length_6219_cov_9.584848
147	bin.10.fa	>NODE_1795_length_6214_cov_10.791687
148	bin.10.fa	>NODE_1843_length_6089_cov_8.499834
149	bin.10.fa	>NODE_2105_length_5558_cov_10.628748
150	bin.10.fa	>NODE_2203_length_5389_cov_13.638358
151	bin.10.fa	>NODE_2336_length_5190_cov_9.901850
152	bin.10.fa	>NODE_2481_length_4997_cov_13.464994
153	bin.10.fa	>NODE_2588_length_4877_cov_14.182704
154	bin.10.fa	>NODE_2922_length_4508_cov_10.941837
155	bin.10.fa	>NODE_3080_length_4338_cov_10.005837
156	bin.10.fa	>NODE_3100_length_4316_cov_9.239615
157	bin.10.fa	>NODE_3199_length_4232_cov_10.976538
158	bin.10.fa	>NODE_3534_length_3977_cov_9.942121
159	bin.10.fa	>NODE_4008_length_3642_cov_9.072484
160	bin.10.fa	>NODE_4012_length_3640_cov_14.829289
161	bin.10.fa	>NODE_4529_length_3348_cov_12.051321
162	bin.10.fa	>NODE_5104_length_3097_cov_9.078567
163	bin.10.fa	>NODE_5228_length_3052_cov_8.583584
164	bin.10.fa	>NODE_5328_length_3016_cov_13.855454
165	bin.10.fa	>NODE_5436_length_2981_cov_10.690021
166	bin.10.fa	>NODE_5512_length_2957_cov_10.723294
167	bin.10.fa	>NODE_5882_length_2835_cov_13.198201
168	bin.10.fa	>NODE_6022_length_2798_cov_11.974480
169	bin.10.fa	>NODE_6054_length_2789_cov_9.703731
170	bin.10.fa	>NODE_6939_length_2559_cov_10.687300
171	bin.10.fa	>NODE_8031_length_2343_cov_9.077360
172	bin.10.fa	>NODE_9600_length_2115_cov_12.022816
173	bin.10.fa	>NODE_13058_length_1786_cov_11.860774
174	bin.10.fa	>NODE_14179_length_1711_cov_7.945048
175	bin.11.fa	>NODE_139_length_35131_cov_8.673423
176	bin.11.fa	>NODE_163_length_31584_cov_9.796283
177	bin.11.fa	>NODE_170_length_30507_cov_9.307730
178	bin.11.fa	>NODE_190_length_27990_cov_9.961231
179	bin.11.fa	>NODE_198_length_27320_cov_10.040198
180	bin.11.fa	>NODE_259_length_22768_cov_8.490952
181	bin.11.fa	>NODE_271_length_22145_cov_7.962019
182	bin.11.fa	>NODE_283_length_21731_cov_8.965676
183	bin.11.fa	>NODE_292_length_21567_cov_8.704305
184	bin.11.fa	>NODE_303_length_20887_cov_8.309572
185	bin.11.fa	>NODE_307_length_20764_cov_7.957700
186	bin.11.fa	>NODE_309_length_20631_cov_9.691631
187	bin.11.fa	>NODE_325_length_20058_cov_7.243164
188	bin.11.fa	>NODE_345_length_19014_cov_8.924996
189	bin.11.fa	>NODE_364_length_18326_cov_8.518964
190	bin.11.fa	>NODE_372_length_18129_cov_7.385360
191	bin.11.fa	>NODE_377_length_17996_cov_10.011761
192	bin.11.fa	>NODE_379_length_17955_cov_9.381061
193	bin.11.fa	>NODE_405_length_17140_cov_7.864150
194	bin.11.fa	>NODE_448_length_16044_cov_8.541747
195	bin.11.fa	>NODE_461_length_15725_cov_9.507594
196	bin.11.fa	>NODE_464_length_15640_cov_9.716843
197	bin.11.fa	>NODE_505_length_14683_cov_9.024747
198	bin.11.fa	>NODE_522_length_14236_cov_7.587053
199	bin.11.fa	>NODE_537_length_14023_cov_8.144187
200	bin.11.fa	>NODE_559_length_13668_cov_9.229487
201	bin.11.fa	>NODE_590_length_13211_cov_7.800091
202	bin.11.fa	>NODE_597_length_13107_cov_7.789764
203	bin.11.fa	>NODE_600_length_13035_cov_7.755855
204	bin.11.fa	>NODE_603_length_12996_cov_8.381655
205	bin.11.fa	>NODE_616_length_12826_cov_6.960536
206	bin.11.fa	>NODE_666_length_12145_cov_7.589330
207	bin.11.fa	>NODE_688_length_11899_cov_9.588484
208	bin.11.fa	>NODE_705_length_11756_cov_8.143663
209	bin.11.fa	>NODE_710_length_11678_cov_9.440936
210	bin.11.fa	>NODE_714_length_11632_cov_9.099853
211	bin.11.fa	>NODE_717_length_11606_cov_7.915505
212	bin.11.fa	>NODE_721_length_11538_cov_7.623966
213	bin.11.fa	>NODE_725_length_11518_cov_7.371805
214	bin.11.fa	>NODE_735_length_11430_cov_9.325538
215	bin.11.fa	>NODE_736_length_11403_cov_8.111121
216	bin.11.fa	>NODE_738_length_11382_cov_8.004149
217	bin.11.fa	>NODE_759_length_11128_cov_7.081369
218	bin.11.fa	>NODE_782_length_10951_cov_8.023954
219	bin.11.fa	>NODE_809_length_10694_cov_7.912398
220	bin.11.fa	>NODE_811_length_10669_cov_8.732712
221	bin.11.fa	>NODE_826_length_10529_cov_8.099484
222	bin.11.fa	>NODE_829_length_10494_cov_7.543443
223	bin.11.fa	>NODE_840_length_10403_cov_6.651624
224	bin.11.fa	>NODE_908_length_9817_cov_7.346138
225	bin.11.fa	>NODE_909_length_9809_cov_9.262456
226	bin.11.fa	>NODE_910_length_9785_cov_7.336382
227	bin.11.fa	>NODE_911_length_9781_cov_8.135205
228	bin.11.fa	>NODE_929_length_9657_cov_7.177775
229	bin.11.fa	>NODE_944_length_9548_cov_8.629833
230	bin.11.fa	>NODE_978_length_9319_cov_10.180052
231	bin.11.fa	>NODE_1000_length_9150_cov_9.190104
232	bin.11.fa	>NODE_1006_length_9117_cov_8.041271
233	bin.11.fa	>NODE_1054_length_8843_cov_9.622781
234	bin.11.fa	>NODE_1064_length_8807_cov_7.572212
235	bin.11.fa	>NODE_1098_length_8656_cov_6.971515
236	bin.11.fa	>NODE_1114_length_8556_cov_9.584402
237	bin.11.fa	>NODE_1134_length_8465_cov_7.404637
238	bin.11.fa	>NODE_1136_length_8452_cov_7.564487
239	bin.11.fa	>NODE_1148_length_8375_cov_7.662620
240	bin.11.fa	>NODE_1151_length_8364_cov_8.743892
241	bin.11.fa	>NODE_1156_length_8347_cov_7.247588
242	bin.11.fa	>NODE_1167_length_8281_cov_7.943350
243	bin.11.fa	>NODE_1186_length_8188_cov_7.999262
244	bin.11.fa	>NODE_1201_length_8095_cov_10.264055
245	bin.11.fa	>NODE_1208_length_8069_cov_7.269279
246	bin.11.fa	>NODE_1216_length_8060_cov_9.349032
247	bin.11.fa	>NODE_1222_length_8021_cov_7.534773
248	bin.11.fa	>NODE_1229_length_7980_cov_7.356467
249	bin.11.fa	>NODE_1230_length_7968_cov_8.215468
250	bin.11.fa	>NODE_1251_length_7888_cov_8.751819
251	bin.11.fa	>NODE_1283_length_7774_cov_8.500324
252	bin.11.fa	>NODE_1289_length_7742_cov_10.236373
253	bin.11.fa	>NODE_1300_length_7680_cov_8.365508
254	bin.11.fa	>NODE_1315_length_7624_cov_8.374290
255	bin.11.fa	>NODE_1317_length_7617_cov_7.935202
256	bin.11.fa	>NODE_1320_length_7588_cov_7.596973
257	bin.11.fa	>NODE_1328_length_7563_cov_7.704049
258	bin.11.fa	>NODE_1332_length_7547_cov_8.420048
259	bin.11.fa	>NODE_1358_length_7466_cov_9.321144
260	bin.11.fa	>NODE_1359_length_7459_cov_7.796731
261	bin.11.fa	>NODE_1364_length_7450_cov_8.657742
262	bin.11.fa	>NODE_1365_length_7448_cov_8.130258
263	bin.11.fa	>NODE_1378_length_7411_cov_8.320283
264	bin.11.fa	>NODE_1401_length_7326_cov_7.211525
265	bin.11.fa	>NODE_1403_length_7321_cov_7.600881
266	bin.11.fa	>NODE_1404_length_7310_cov_7.985527
267	bin.11.fa	>NODE_1408_length_7279_cov_7.081949
268	bin.11.fa	>NODE_1412_length_7274_cov_8.330101
269	bin.11.fa	>NODE_1411_length_7274_cov_9.454357
270	bin.11.fa	>NODE_1449_length_7155_cov_8.140000
271	bin.11.fa	>NODE_1459_length_7139_cov_8.303642
272	bin.11.fa	>NODE_1466_length_7118_cov_7.308084
273	bin.11.fa	>NODE_1490_length_7045_cov_8.533047
274	bin.11.fa	>NODE_1511_length_6973_cov_8.778693
275	bin.11.fa	>NODE_1519_length_6956_cov_8.715548
276	bin.11.fa	>NODE_1523_length_6941_cov_9.145077
277	bin.11.fa	>NODE_1526_length_6931_cov_7.578389
278	bin.11.fa	>NODE_1537_length_6897_cov_8.281497
279	bin.11.fa	>NODE_1552_length_6849_cov_8.599941
280	bin.11.fa	>NODE_1595_length_6723_cov_8.796341
281	bin.11.fa	>NODE_1599_length_6706_cov_7.811307
282	bin.11.fa	>NODE_1604_length_6694_cov_9.254255
283	bin.11.fa	>NODE_1613_length_6666_cov_7.304493
284	bin.11.fa	>NODE_1616_length_6661_cov_7.249319
285	bin.11.fa	>NODE_1620_length_6650_cov_7.224261
286	bin.11.fa	>NODE_1634_length_6619_cov_7.842474
287	bin.11.fa	>NODE_1643_length_6582_cov_7.150299
288	bin.11.fa	>NODE_1649_length_6570_cov_8.200307
289	bin.11.fa	>NODE_1653_length_6563_cov_7.941303
290	bin.11.fa	>NODE_1667_length_6525_cov_7.874652
291	bin.11.fa	>NODE_1703_length_6425_cov_6.853375
292	bin.11.fa	>NODE_1714_length_6400_cov_7.941214
293	bin.11.fa	>NODE_1717_length_6390_cov_9.151539
294	bin.11.fa	>NODE_1743_length_6310_cov_6.708074
295	bin.11.fa	>NODE_1773_length_6263_cov_6.882088
296	bin.11.fa	>NODE_1779_length_6245_cov_7.284491
297	bin.11.fa	>NODE_1787_length_6228_cov_7.579135
298	bin.11.fa	>NODE_1788_length_6228_cov_7.202009
299	bin.11.fa	>NODE_1896_length_5944_cov_7.320088
300	bin.11.fa	>NODE_1909_length_5926_cov_9.380003
301	bin.11.fa	>NODE_1928_length_5885_cov_9.250429
302	bin.11.fa	>NODE_1971_length_5786_cov_8.419822
303	bin.11.fa	>NODE_1992_length_5762_cov_8.363063
304	bin.11.fa	>NODE_2001_length_5748_cov_7.072545
305	bin.11.fa	>NODE_2017_length_5713_cov_9.505479
306	bin.11.fa	>NODE_2035_length_5668_cov_7.051309
307	bin.11.fa	>NODE_2061_length_5628_cov_7.662300
308	bin.11.fa	>NODE_2062_length_5628_cov_6.568455
309	bin.11.fa	>NODE_2086_length_5592_cov_7.074770
310	bin.11.fa	>NODE_2107_length_5557_cov_7.536532
311	bin.11.fa	>NODE_2119_length_5543_cov_8.343477
312	bin.11.fa	>NODE_2147_length_5488_cov_7.151298
313	bin.11.fa	>NODE_2149_length_5487_cov_7.008284
314	bin.11.fa	>NODE_2158_length_5477_cov_8.808927
315	bin.11.fa	>NODE_2157_length_5477_cov_9.437661
316	bin.11.fa	>NODE_2159_length_5475_cov_11.136900
317	bin.11.fa	>NODE_2167_length_5460_cov_8.037188
318	bin.11.fa	>NODE_2190_length_5418_cov_6.524893
319	bin.11.fa	>NODE_2205_length_5387_cov_9.007502
320	bin.11.fa	>NODE_2269_length_5292_cov_6.444147
321	bin.11.fa	>NODE_2271_length_5290_cov_8.366189
322	bin.11.fa	>NODE_2273_length_5289_cov_8.034199
323	bin.11.fa	>NODE_2288_length_5266_cov_7.547688
324	bin.11.fa	>NODE_2300_length_5250_cov_6.490279
325	bin.11.fa	>NODE_2325_length_5199_cov_8.647356
326	bin.11.fa	>NODE_2328_length_5197_cov_7.112408
327	bin.11.fa	>NODE_2337_length_5190_cov_8.870691
328	bin.11.fa	>NODE_2362_length_5154_cov_8.996078
329	bin.11.fa	>NODE_2399_length_5116_cov_7.231180
330	bin.11.fa	>NODE_2402_length_5110_cov_7.550346
331	bin.11.fa	>NODE_2420_length_5081_cov_8.473936
332	bin.11.fa	>NODE_2425_length_5072_cov_7.368348
333	bin.11.fa	>NODE_2428_length_5067_cov_8.349162
334	bin.11.fa	>NODE_2441_length_5047_cov_9.769631
335	bin.11.fa	>NODE_2449_length_5037_cov_9.106784
336	bin.11.fa	>NODE_2469_length_5011_cov_7.382768
337	bin.11.fa	>NODE_2476_length_5003_cov_8.330841
338	bin.11.fa	>NODE_2491_length_4984_cov_7.360316
339	bin.11.fa	>NODE_2494_length_4983_cov_8.446226
340	bin.11.fa	>NODE_2500_length_4976_cov_10.201585
341	bin.11.fa	>NODE_2504_length_4973_cov_7.150671
342	bin.11.fa	>NODE_2510_length_4967_cov_6.155334
343	bin.11.fa	>NODE_2518_length_4958_cov_8.983480
344	bin.11.fa	>NODE_2578_length_4887_cov_7.448882
345	bin.11.fa	>NODE_2646_length_4808_cov_6.463286
346	bin.11.fa	>NODE_2654_length_4796_cov_7.663151
347	bin.11.fa	>NODE_2745_length_4693_cov_8.316085
348	bin.11.fa	>NODE_2775_length_4663_cov_8.464193
349	bin.11.fa	>NODE_2780_length_4656_cov_6.212780
350	bin.11.fa	>NODE_2822_length_4615_cov_6.892105
351	bin.11.fa	>NODE_2824_length_4614_cov_7.127002
352	bin.11.fa	>NODE_2857_length_4585_cov_6.810375
353	bin.11.fa	>NODE_2894_length_4538_cov_9.432077
354	bin.11.fa	>NODE_2919_length_4512_cov_7.507741
355	bin.11.fa	>NODE_2921_length_4509_cov_7.217782
356	bin.11.fa	>NODE_2932_length_4500_cov_7.771429
357	bin.11.fa	>NODE_2943_length_4486_cov_7.362446
358	bin.11.fa	>NODE_2956_length_4472_cov_7.429703
359	bin.11.fa	>NODE_2978_length_4450_cov_8.172014
360	bin.11.fa	>NODE_3004_length_4419_cov_8.108387
361	bin.11.fa	>NODE_3017_length_4408_cov_7.357455
362	bin.11.fa	>NODE_3067_length_4349_cov_7.749651
363	bin.11.fa	>NODE_3113_length_4308_cov_9.128145
364	bin.11.fa	>NODE_3157_length_4262_cov_8.928215
365	bin.11.fa	>NODE_3166_length_4253_cov_8.409242
366	bin.11.fa	>NODE_3177_length_4248_cov_7.267827
367	bin.11.fa	>NODE_3215_length_4216_cov_7.368181
368	bin.11.fa	>NODE_3258_length_4176_cov_7.868479
369	bin.11.fa	>NODE_3294_length_4145_cov_7.897800
370	bin.11.fa	>NODE_3314_length_4127_cov_7.573183
371	bin.11.fa	>NODE_3319_length_4124_cov_7.221676
372	bin.11.fa	>NODE_3323_length_4122_cov_8.592574
373	bin.11.fa	>NODE_3342_length_4109_cov_7.804391
374	bin.11.fa	>NODE_3346_length_4107_cov_8.880059
375	bin.11.fa	>NODE_3389_length_4076_cov_7.456603
376	bin.11.fa	>NODE_3413_length_4057_cov_6.773363
377	bin.11.fa	>NODE_3421_length_4051_cov_7.446697
378	bin.11.fa	>NODE_3460_length_4028_cov_8.116285
379	bin.11.fa	>NODE_3485_length_4016_cov_7.478162
380	bin.11.fa	>NODE_3516_length_3995_cov_6.858883
381	bin.11.fa	>NODE_3538_length_3974_cov_8.164583
382	bin.11.fa	>NODE_3562_length_3959_cov_6.743596
383	bin.11.fa	>NODE_3568_length_3954_cov_7.644011
384	bin.11.fa	>NODE_3589_length_3937_cov_9.108707
385	bin.11.fa	>NODE_3599_length_3924_cov_7.940553
386	bin.11.fa	>NODE_3609_length_3919_cov_8.020963
387	bin.11.fa	>NODE_3614_length_3915_cov_7.276943
388	bin.11.fa	>NODE_3666_length_3871_cov_7.780922
389	bin.11.fa	>NODE_3687_length_3859_cov_7.015510
390	bin.11.fa	>NODE_3705_length_3849_cov_8.428308
391	bin.11.fa	>NODE_3706_length_3848_cov_6.843132
392	bin.11.fa	>NODE_3723_length_3836_cov_7.435335
393	bin.11.fa	>NODE_3722_length_3836_cov_10.486644
394	bin.11.fa	>NODE_3738_length_3827_cov_7.278632
395	bin.11.fa	>NODE_3751_length_3820_cov_7.549535
396	bin.11.fa	>NODE_3838_length_3763_cov_5.984358
397	bin.11.fa	>NODE_3840_length_3762_cov_8.480173
398	bin.11.fa	>NODE_3902_length_3717_cov_9.917258
399	bin.11.fa	>NODE_3907_length_3713_cov_6.465008
400	bin.11.fa	>NODE_3931_length_3696_cov_8.536940
401	bin.11.fa	>NODE_3948_length_3684_cov_7.644530
402	bin.11.fa	>NODE_3971_length_3665_cov_8.404155
403	bin.11.fa	>NODE_3991_length_3653_cov_7.456643
404	bin.11.fa	>NODE_4002_length_3645_cov_8.574652
405	bin.11.fa	>NODE_4080_length_3596_cov_7.313188
406	bin.11.fa	>NODE_4088_length_3589_cov_7.201188
407	bin.11.fa	>NODE_4094_length_3586_cov_7.713962
408	bin.11.fa	>NODE_4098_length_3583_cov_8.716270
409	bin.11.fa	>NODE_4103_length_3580_cov_8.024965
410	bin.11.fa	>NODE_4124_length_3564_cov_8.432887
411	bin.11.fa	>NODE_4147_length_3549_cov_6.549513
412	bin.11.fa	>NODE_4192_length_3522_cov_6.923565
413	bin.11.fa	>NODE_4279_length_3476_cov_7.195849
414	bin.11.fa	>NODE_4334_length_3445_cov_4.985841
415	bin.11.fa	>NODE_4332_length_3445_cov_9.417699
416	bin.11.fa	>NODE_4423_length_3401_cov_6.455768
417	bin.11.fa	>NODE_4445_length_3385_cov_4.934835
418	bin.11.fa	>NODE_4510_length_3355_cov_7.034545
419	bin.11.fa	>NODE_4512_length_3354_cov_9.181267
420	bin.11.fa	>NODE_4550_length_3341_cov_7.627815
421	bin.11.fa	>NODE_4553_length_3340_cov_7.596651
422	bin.11.fa	>NODE_4685_length_3279_cov_8.183002
423	bin.11.fa	>NODE_4783_length_3229_cov_9.634846
424	bin.11.fa	>NODE_4846_length_3202_cov_8.255799
425	bin.11.fa	>NODE_4868_length_3192_cov_7.522474
426	bin.11.fa	>NODE_4920_length_3172_cov_7.261790
427	bin.11.fa	>NODE_4964_length_3154_cov_8.043240
428	bin.11.fa	>NODE_4975_length_3151_cov_7.517119
429	bin.11.fa	>NODE_5124_length_3091_cov_7.155468
430	bin.11.fa	>NODE_5150_length_3079_cov_7.792989
431	bin.11.fa	>NODE_5154_length_3078_cov_8.849818
432	bin.11.fa	>NODE_5217_length_3058_cov_6.082917
433	bin.11.fa	>NODE_5264_length_3039_cov_8.578753
434	bin.11.fa	>NODE_5283_length_3034_cov_7.697885
435	bin.11.fa	>NODE_5325_length_3017_cov_6.291357
436	bin.11.fa	>NODE_5424_length_2983_cov_8.391052
437	bin.11.fa	>NODE_5457_length_2976_cov_6.958576
438	bin.11.fa	>NODE_5486_length_2965_cov_6.150859
439	bin.11.fa	>NODE_5550_length_2947_cov_8.081950
440	bin.11.fa	>NODE_5564_length_2941_cov_9.828482
441	bin.11.fa	>NODE_5576_length_2937_cov_7.400416
442	bin.11.fa	>NODE_5636_length_2915_cov_7.015734
443	bin.11.fa	>NODE_5645_length_2911_cov_8.213235
444	bin.11.fa	>NODE_5695_length_2896_cov_6.488560
445	bin.11.fa	>NODE_5817_length_2855_cov_9.308214
446	bin.11.fa	>NODE_5836_length_2849_cov_7.113099
447	bin.11.fa	>NODE_5849_length_2846_cov_11.766392
448	bin.11.fa	>NODE_5945_length_2819_cov_7.226483
449	bin.11.fa	>NODE_5950_length_2818_cov_7.527325
450	bin.11.fa	>NODE_5954_length_2817_cov_8.855902
451	bin.11.fa	>NODE_6041_length_2793_cov_7.888605
452	bin.11.fa	>NODE_6059_length_2788_cov_8.765459
453	bin.11.fa	>NODE_6098_length_2777_cov_8.965834
454	bin.11.fa	>NODE_6214_length_2744_cov_6.707698
455	bin.11.fa	>NODE_6359_length_2705_cov_7.756604
